                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.73041,                0.52146,                0.98931,                0.99492,                      1,                  0.995,                0.88631,                0.59879,                0.52435,                0.92415,             0.00052827,             0.00052827,             0.00052827
                     72,                0.72346,                0.54799,                0.97889,                0.98743,                      1,                  0.995,                0.85321,                0.67119,                0.50734,                0.96316,             0.00051177,             0.00051177,             0.00051177
                     73,                0.70142,                0.48743,                0.95452,                0.98221,                      1,                  0.995,                0.85129,                0.67316,                0.49126,                0.96133,             0.00049527,             0.00049527,             0.00049527
                     74,                0.69113,                0.50854,                 1.0282,                0.99202,                      1,                  0.995,                0.85405,                0.65273,                0.48189,                0.94637,             0.00047876,             0.00047876,             0.00047876
                     75,                0.75625,                0.56036,                 1.0403,                0.99217,                      1,                  0.995,                0.85099,                0.60891,                 0.4419,                 0.9188,             0.00046226,             0.00046226,             0.00046226
                     76,                0.72887,                0.53934,                 1.0612,                0.99589,                      1,                  0.995,                0.85758,                0.58151,                0.44014,                 0.9065,             0.00044576,             0.00044576,             0.00044576
                     77,                0.68352,                0.53384,                0.98477,                0.99507,                      1,                  0.995,                 0.8634,                0.59378,                0.43925,                0.91446,             0.00042925,             0.00042925,             0.00042925
                     78,                0.70175,                0.51335,                 1.0362,                0.99449,                0.99876,                  0.995,                0.86818,                0.59026,                0.44651,                 0.9138,             0.00041275,             0.00041275,             0.00041275
                     79,                0.71639,                0.53906,                  1.003,                0.99339,                 0.9979,                  0.995,                0.87034,                0.57977,                0.43237,                0.90961,             0.00039625,             0.00039625,             0.00039625
                     80,                 0.6797,                0.51483,                0.95518,                0.99532,                      1,                  0.995,                0.86915,                0.56065,                0.42893,                0.89952,             0.00037974,             0.00037974,             0.00037974
                     81,                0.75736,                0.56004,                 1.0555,                0.99489,                      1,                  0.995,                0.87388,                0.53653,                 0.4087,                0.88765,             0.00036324,             0.00036324,             0.00036324
                     82,                0.65452,                0.50646,                0.97922,                0.99543,                      1,                  0.995,                0.88568,                0.49898,                0.39472,                0.87358,             0.00034674,             0.00034674,             0.00034674
                     83,                0.62618,                0.50688,                0.95769,                 0.9955,                      1,                  0.995,                0.89568,                0.48478,                0.39497,                0.86847,             0.00033023,             0.00033023,             0.00033023
                     84,                0.59266,                0.48527,                0.95159,                0.99555,                      1,                  0.995,                0.89818,                0.48378,                 0.4065,                0.86597,             0.00031373,             0.00031373,             0.00031373
                     85,                0.73293,                0.55725,                0.95264,                0.99629,                      1,                  0.995,                 0.8967,                0.47806,                0.39051,                0.86322,             0.00029723,             0.00029723,             0.00029723
                     86,                0.60798,                0.44426,                0.95794,                  0.997,                      1,                  0.995,                 0.8856,                 0.4766,                0.38365,                0.86324,             0.00028072,             0.00028072,             0.00028072
                     87,                0.60599,                 0.4752,                0.98196,                0.99691,                      1,                  0.995,                0.87765,                 0.4852,                 0.3935,                0.86741,             0.00026422,             0.00026422,             0.00026422
